id,proper,x,y,z,mag,ci
49528,Regulus,-21.018857,11.132218,5.041397,1.36,-0.087
5725,Revati,50.128801,16.707567,7.027196,5.21,0.32
5731,Revati B,88.381439,29.46675,12.394783,6.44,0.492
19730,Rhombus,10.180685,20.514413,-43.944776,3.33,0.915
24378,Rigel,51.601106,256.709905,-37.740051,0.18,-0.03
71456,Rigil Kentaurus,-0.495203,-0.414084,-1.156625,-0.01,0.71
80776,Rosalíadecastro,-23.009677,-57.565318,2.256769,7.89,0.68
57375,Ross 128,-3.349892,0.179372,0.047111,11.12,1.746
92115,Ross 154,0.585883,-2.652454,-1.200123,10.37,1.51
119585,Ross 248,2.262649,-0.179022,2.205274,12.29,1.9
30847,Ross 614,-0.527146,4.088126,-0.202607,11.12,1.69
118589,Ross 686,-17.333104,17.206472,2.240759,12.68,1.47
44135,Ross 687,-14.80023,14.692285,1.913156,12.37,1.455
101442,Rotanev,18.994041,-23.134214,7.794139,3.64,0.425
6672,Ruchbah,14.082378,5.53413,26.457567,2.66,0.16
95052,Rukbat,15.143928,-39.50987,-36.286833,3.96,-0.105
83755,Sabik,-5.602493,-25.470005,-7.342684,2.43,0.059
23398,Saclateni,45.114162,175.957014,158.327189,3.69,1.154
110049,Sadachbia,45.635919,-20.880207,-1.215412,3.86,-0.057
112389,Sadalbari,28.209183,-8.893887,13.542862,3.51,0.933
108728,Sadalmelik,140.987693,-76.722268,-0.896054,2.95,0.969
105936,Sadalsuud,130.759282,-98.929336,-15.993766,2.9,0.828
100128,Sadr,249.318228,-348.795593,363.040966,2.23,0.673
113980,Safina,75.510914,-16.931759,-29.973162,3.68,1.202
56403,Sagarmatha,-49.158438,5.1974,-4.112467,8.42,0.76
27298,Saiph,10.444137,195.314937,-33.326707,2.07,-0.168
114887,Salm,44.715629,-7.756411,19.960021,4.58,0.18
106481,Sāmaya,74.642254,-53.172993,-56.684058,8.56,0.546
85965,Sargas,-6.654055,-67.016643,-62.796539,1.86,0.406
84121,Sarin,-4.075476,-20.503689,9.676738,3.12,0.08
21541,Sceptrum,11.405856,30.579706,-8.321655,3.86,1.082
113521,Scheat,51.433435,-12.877612,28.290136,2.44,1.655
3172,Schedar,37.984817,6.784483,58.379619,2.24,1.17
20405,Secunda Hyadum,18.695965,41.472036,14.380508,3.77,0.983
8867,Segin,49.169644,26.806887,113.163436,3.35,-0.15
70851,Seginus,-16.449442,-12.860715,16.49506,3.04,0.191
96450,Sham,52.446573,-112.348474,40.319114,4.39,0.777
55498,Shama,-49.302696,7.744997,-1.332214,9.1,0.874
51475,Shaomin,-91628.219948,36643.48097,16171.724913,3.84,-0.148
79191,Sharjah,-6.147626,-12.156552,-4.657551,11.34,1.486
